name,place_id,type,lat,lng,address
Watercove Vile Waterplay,ChIJNzVLIwAV2jER_LxmBEA6jCE,clinic,1.4617033,103.8395137,"103 Wak Hassan Drive, Singapore"
Watercove Ville,ChIJZzeoob4U2jERQ4KySx0LnUs,clinic,1.4616087,103.8392385,"117 Wak Hassan Drive, Singapore"
Irau Drive Playground,ChIJt8hpay4V2jERU15_1cTX3ww,clinic,1.4618578,103.8401801,Wak Hassan Drive
Masjid Petempatan Melayu Sembawang | مسجد,ChIJfbd4Sb4U2jERkwnTQlxzNgc,clinic,1.4591634,103.8417445,27B Jalan Mempurong
Simpang River Trail,ChIJcXax54cV2jERiPuYGdeD9BU,clinic,1.4620171,103.8402914,"193 Wak Hassan Drive, Singapore"
Sewdapoppin,ChIJV3PKg7wV2jERoIM02FW3PjM,clinic,1.4589703,103.8382035,27 Andrews Terrace
T-Rex Point,ChIJFWQRZwAV2jER5FHXH8nuUpo,clinic,1.4589796,103.8381904,25 Andrews Terrace
Straits Gardens,ChIJ80wb-r0U2jERoNvBKsfhcE0,clinic,1.4582533,103.8383374,"32 Andrews Terrace, Singapore"
Chui Chee Toong @ Chui Chee Yee,ChIJjY3y8b0U2jERaCifheTjJ88,clinic,1.4583665,103.8380951,22 Andrews Terrace
PUB Andrews Ave Pump Sump,ChIJXXbpYgAV2jERltQMI9alPE4,clinic,1.4576783,103.838898,Andrews Avenue
Old Gates,ChIJ7wVfWwAV2jERzuE0JhrJvu4,clinic,1.4594999,103.8427382,"512 Jalan Mempurong, Singapore"
Sembawang Straits Estate,ChIJsV3x9L0U2jERAKsgLqgv5y4,clinic,1.4581623,103.8376879,"12F Andrews Avenue, Singapore"
School Of Outdoor Learning,ChIJv7QRt7EV2jERYtGeVKbmy9k,clinic,1.4625157,103.8384491,
Kong Yong Leng Service Centre,ChIJO3qvjb0U2jERqBhqL4hSpuI,clinic,1.4582148,103.8375835,12 Andrews Avenue
Sembawang Park Car Park 1,ChIJjds3hYIV2jERF_KXEeFovzk,clinic,1.4619849,103.8377235,Parking lot
Terrace,ChIJ9RV2SgAV2jER6FSvbXfjMMQ,clinic,1.4581815,103.8375896,"12C Andrews Avenue, Singapore"
SUP with Outdoor & Adventure Learning,ChIJdRUumI4V2jERkWgGIjl0mFs,clinic,1.4628007,103.8388463,"54 Kampong Wak Hassan, Singapore"
SeaOPS,ChIJ4fh7zQMV2jERgmywERneUuc,clinic,1.4628432,103.8387448,54 Kampong Wak Hassan
The Soul Collections,ChIJS6cSDEUV2jER7XNxz53pz7A,clinic,1.4575543,103.8376578,8 Kandis Link
