poi_type,positive,neutral,negative
fire_station,13,0,0
"hindu_temple,tourist_attraction,local_government_office,place_of_worship",0,10,0
"florist,school,store",17,0,0
"clothing_store,jewelry_store,store",3,10,0
"painter,electrician,plumber,home_goods_store,general_contractor,store,health",18,0,0
"jewelry_store,finance,store",24,0,0
"shopping_mall,hospital,real_estate_agency,health",8,0,0
"physiotherapist,hospital,doctor,health",24,0,0
"school,store,food",0,0,11
"movie_theater,cafe,food",16,0,0
"art_gallery,cafe,food",11,0,0
"shopping_mall,lodging",4,4,0
"general_contractor,home_goods_store,store",26,0,0
"bar,meal_delivery,cafe,restaurant,food",10,0,0
"health,primary_school,school",8,0,0
"university,accounting,finance,school",12,0,0
"cafe,library,restaurant,food",12,0,0
"physiotherapist,local_government_office,hospital,doctor,health",3,0,0
"supermarket,home_goods_store,grocery_or_supermarket,food,clothing_store,store",13,0,0
"hair_care,school",12,0,0
"supermarket,grocery_or_supermarket,restaurant,food,store",14,0,0
"grocery_or_supermarket,supermarket,store,food",6,2,0
"meal_delivery,store,health,restaurant,food",15,0,0
"school,doctor,health",7,4,0
"cafe,clothing_store,home_goods_store,museum,store,food",2,13,0
"beauty_salon,hair_care,cafe,restaurant,food",14,0,0
"shopping_mall,parking",1,9,1
"park,health",13,0,0
"hospital,doctor,health,store",1,10,0
"school,travel_agency",5,0,0
"art_gallery,university",14,0,0
"spa,hospital,doctor,hair_care,beauty_salon,health",17,1,0
"meal_takeaway,bicycle_store,cafe,store,restaurant,food",13,0,0
"doctor,store,health",11,0,0
"moving_company,storage,locksmith,furniture_store,home_goods_store,store",4,0,0
"supermarket,convenience_store,grocery_or_supermarket,home_goods_store,store,food",8,2,0
"health,restaurant,food",12,0,0
"car_rental,travel_agency",11,0,0
"park,restaurant,food,store",11,2,0
"car_repair,insurance_agency,car_dealer,store",15,0,0
"night_club,gym,bar,health",11,0,0
"furniture_store,general_contractor,clothing_store,home_goods_store,store",5,9,0
"home_goods_store,general_contractor,store",17,0,0
"beauty_salon,school",17,0,0
"beauty_salon,hair_care,hospital,spa,doctor,health",18,0,0
"pharmacy,health,food,store",4,0,6
"pharmacy,doctor,store,health",15,1,0
"meal_delivery,meal_takeaway,restaurant,store,food",11,0,5
"clothing_store,store,health",11,0,0
"laundry,general_contractor",14,0,0
"tourist_attraction,meal_takeaway,restaurant,food,store",17,1,0
"laundry,store",5,5,0
"accounting,bank,finance",9,0,0
"moving_company,bar,school,store",0,1,0
"store,park",14,0,0
"electronics_store,night_club,bar,home_goods_store,store",20,0,0
"pet_store,school,store",13,0,0
"bakery,school,store,food",7,1,0
"store,convenience_store,grocery_or_supermarket,food",10,0,0
"hospital,doctor,local_government_office,health",12,0,0
"convenience_store,shopping_mall,supermarket,grocery_or_supermarket,store,food",4,0,0
"shopping_mall,local_government_office,finance",1,0,0
"florist,liquor_store,cafe,food,store",14,0,0
"finance,storage",1,0,0
"gym,health,store",12,0,0
"liquor_store,supermarket,grocery_or_supermarket,convenience_store,food,store",0,14,0
"gym,bar,health",23,0,0
"school,store,health",20,0,0
"school,primary_school",13,5,0
"hardware_store,supermarket,grocery_or_supermarket,store,food",3,8,1
"meal_takeaway,supermarket,grocery_or_supermarket,store,restaurant,food",0,0,1
"home_goods_store,school,store",1,0,0
"home_goods_store,art_gallery,store",14,0,0
"university,primary_school,school",11,0,0
"university,secondary_school,primary_school,accounting,finance,school",0,1,0
"grocery_or_supermarket,cafe,store,food",3,10,0
"hair_care,beauty_salon",16,0,0
"convenience_store,shoe_store,food,store",6,0,0
"beauty_salon,shopping_mall",0,12,2
"movie_theater,hair_care,cafe,lodging,health,finance,grocery_or_supermarket,food,store",0,0,5
"electronics_store,local_government_office,home_goods_store,store",0,9,3
"florist,general_contractor,store",0,0,10
"university,secondary_school,school",0,1,0
"light_rail_station,transit_station",0,0,1
"hair_care,hospital,health",11,0,0
"church,health,place_of_worship",5,0,0
"cafe,grocery_or_supermarket,food,home_goods_store,store",4,0,0
